iter	Passed	Remaining
1014	39005	22481
1015	39055	22449
1016	39104	22416
1017	39150	22382
1018	39197	22349
1019	39245	22316
1020	39291	22281
1021	39334	22246
1022	39379	22211
1023	39430	22179
1024	39484	22149
1025	39531	22116
1026	39576	22081
1027	39621	22046
1028	39668	22012
1029	39720	21981
1030	39769	21948
1031	39812	21912
1032	39857	21877
1033	39902	21842
1034	39955	21811
1035	40000	21776
1036	40046	21741
1037	40093	21707
1038	40137	21671
1039	40188	21640
1040	40234	21605
1041	40281	21571
1042	40327	21536
1043	40374	21501
1044	40425	21470
1045	40472	21435
1046	40517	21400
1047	40565	21366
1048	40610	21331
1049	40660	21298
1050	40707	21263
1051	40751	21227
1052	40794	21191
1053	40841	21156
1054	40891	21124
1055	40935	21088
1056	40981	21053
1057	41027	21017
1058	41077	20984
1059	41128	20952
1060	41175	20917
1061	41219	20881
1062	41265	20846
1063	41309	20810
1064	41359	20777
1065	41409	20743
1066	41455	20708
1067	41503	20674
1068	41552	20640
1069	41602	20606
1070	41648	20571
1071	41693	20535
1072	41741	20501
1073	41789	20466
1074	41838	20432
1075	41886	20398
1076	41931	20362
1077	41978	20327
1078	42029	20294
1079	42078	20259
1080	42127	20225
1081	42173	20190
1082	42221	20155
1083	42270	20121
1084	42316	20085
1085	42364	20051
1086	42413	20016
1087	42457	19980
1088	42505	19945
1089	42550	19909
1090	42595	19872
1091	42643	19837
1092	42694	19804
1093	42743	19770
1094	42790	19734
1095	42836	19698
1096	42879	19661
1097	42927	19626
1098	42979	19593
1099	43025	19557
1100	43072	19521
1101	43121	19486
1102	43166	19450
1103	43216	19416
1104	43261	19379
1105	43307	19343
1106	43356	19308
1107	43408	19275
1108	43461	19242
1109	43509	19206
1110	43557	19171
1111	43605	19136
1112	43651	19100
1113	43703	19066
1114	43749	19030
1115	43793	18993
1116	43839	18956
1117	43887	18920
1118	43935	18885
1119	43980	18848
1120	44024	18811
1121	44067	18773
1122	44114	18737
1123	44167	18704
1124	44212	18667
1125	44255	18629
1126	44302	18593
1127	44352	18558
1128	44405	18525
1129	44454	18489
1130	44503	18454
1131	44549	18417
1132	44597	18382
1133	44643	18345
1134	44694	18310
1135	44739	18273
1136	44785	18237
1137	44834	18201
1138	44878	18164
1139	44926	18128
1140	44973	18092
1141	45018	18054
1142	45066	18018
1143	45113	17982
1144	45165	17947
1145	45210	17910
1146	45256	17873
1147	45301	17836
1148	45351	17801
1149	45406	17767
1150	45451	17730
1151	45498	17693
1152	45545	17657
1153	45593	17621
1154	45644	17586
1155	45693	17550
1156	45741	17513
1157	45788	17477
1158	45835	17440
1159	45885	17404
1160	45931	17367
1161	45976	17330
1162	46024	17293
1163	46070	17256
1164	46115	17219
1165	46170	17185
1166	46215	17147
1167	46261	17110
1168	46307	17073
1169	46360	17038
1170	46415	17004
1171	46467	16969
1172	46514	16932
1173	46560	16895
1174	46609	16858
1175	46656	16821
1176	46714	16788
1177	46758	16750
1178	46803	16712
1179	46846	16674
1180	46891	16636
1181	46947	16602
1182	46998	16566
1183	47047	16530
1184	47095	16493
1185	47142	16456
1186	47196	16421
1187	47244	16384
1188	47291	16347
1189	47338	16310
1190	47384	16272
1191	47429	16234
1192	47476	16196
1193	47527	16160
1194	47572	16122
1195	47616	16084
1196	47662	16046
1197	47709	16009
1198	47763	15974
1199	47807	15935
1200	47852	15897
1201	47898	15859
1202	47943	15821
1203	47996	15786
1204	48062	15754
1205	48105	15715
1206	48148	15677
1207	48197	15640
1208	48245	15602
1209	48299	15567
1210	48349	15531
1211	48394	15492
1212	48440	15454
1213	48486	15416
1214	48532	15378
1215	48583	15342
1216	48634	15305
1217	48679	15267
1218	48724	15228
1219	48769	15190
1220	48816	15152
1221	48862	15114
1222	48912	15077
1223	48955	15038
1224	49001	15000
1225	49046	14962
1226	49092	14923
1227	49139	14886
1228	49184	14847
1229	49232	14809
1230	49277	14771
1231	49325	14733
1232	49372	14695
1233	49422	14658
1234	49467	14619
1235	49511	14581
1236	49558	14542
1237	49603	14504
1238	49648	14465
1239	49697	14428
1240	49742	14389
1241	49787	14350
1242	49831	14311
1243	49876	14273
1244	49923	14235
1245	49967	14196
1246	50012	14157
1247	50056	14118
1248	50100	14079
1249	50145	14040
1250	50194	14003
1251	50241	13964
1252	50287	13926
1253	50333	13887
1254	50377	13848
1255	50426	13811
1256	50471	13772
1257	50517	13733
1258	50561	13694
1259	50604	13655
1260	50649	13616
1261	50696	13577
1262	50746	13540
1263	50787	13500
1264	50831	13461
1265	50874	13421
1266	50919	13382
1267	50966	13344
1268	51014	13306
1269	51057	13266
1270	51104	13228
1271	51150	13189
1272	51194	13150
1273	51245	13113
1274	51293	13074
1275	51344	13037
1276	51391	12998
1277	51440	12960
1278	51488	12922
1279	51538	12884
1280	51586	12846
1281	51630	12806
1282	51674	12767
1283	51720	12728
1284	51765	12689
1285	51816	12652
1286	51861	12612
1287	51907	12573
1288	51953	12534
1289	51998	12495
1290	52048	12457
1291	52095	12419
1292	52139	12379
1293	52184	12340
1294	52230	12301
1295	52278	12262
1296	52328	12224
1297	52371	12185
1298	52414	12145
1299	52457	12105
1300	52502	12066
